 to your browser, в ваш браузер
Log Settings,Настройки журнала
Log cleanup and notification configuration,Настройка очистки журналов и уведомлений
Log in to access this page.,"Войдите, чтобы получить доступ к этой странице."
Log of Scheduler Errors,Журнал ошибок планировщика
Log of error during requests.,Журнал ошибок во время запросов.
Log of error on automated events (scheduler).,Журнал ошибок автоматизированных событий (планировщик).
Logged Out,Выход выполнен
Logged in,Вошёл в систему
Logged in as Guest or Administrator,Выполнен вход как гость или администратор
Login,Войти
Login After,Вход после
Login Before,Вход до
Login Id is required,Требуется ID для входа
Login Required,Требуется вход
Login Verification Code from {},Код подтверждения входа от {}
Login and view in Browser,Войти и просмотреть в браузере
Login not allowed at this time,Вход в это время не разрешён
"Login session expired, refresh page to retry","Сеанс истёк, обновите страницу, чтобы повторить попытку"
Login to comment,"Войдите, чтобы оставить комментарий"
Login token required,Для входа требуется токен
Login with LDAP,Вход через LDAP
Logo Width,Ширина логотипа
Logout,Выйти
Logout All Sessions,Выйти из всех сеансов
Logout All Sessions on Password Reset,Завершать все сеансы при сбросе пароля
Logout From All Devices After Changing Password,Выходить на всех устройствах после смены пароля
Logs,Журналы
Long Text,Длинный текст
Looks Great,Выглядит отлично
Looks like something is wrong with this site's Paypal configuration.,"Похоже, что-то не так с конфигурацией Paypal этого сайта."
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,"Похоже, что-то не так с конфигурацией платёжного шлюза этого сайта. Платёж не был выполнен."
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.","Похоже, что-то пошло не так во время транзакции. Поскольку мы не подтвердили платёж, Paypal автоматически вернёт вам эту сумму. Если этого не произойдёт, отправьте нам письмо и укажите Correlation ID: {0}."
Looks like you didn't change the value,"Похоже, вы не меняли значение"
Low,Низкий
Madam,Мадам
Madhya Pradesh,Мадхья-Прадеш
Maharashtra,Махараштра
Main Section,Основной раздел
Main Section (HTML),Основной раздел (HTML)
Main Section (Markdown),Основной раздел (Markdown)
"Maintains a Log of all inserts, updates and deletions on Event Producer site for documents that have consumers.","Ведёт журнал всех вставок, обновлений и удалений на сайте источника событий для документов, имеющих получателей."
Maintains a log of every event consumed along with the status of the sync and a Resync button in case sync fails.,Ведёт журнал каждого полученного события вместе со статусом синхронизации и кнопкой Resync на случай сбоя.
Maintenance Manager,Менеджер по обслуживанию
Maintenance User,Пользователь обслуживания
"Make ""name"" searchable in Global Search",Сделать «name» доступным для глобального поиска
Make all attachments private,Сделать все вложения приватными
Make use of longer keyboard patterns,Используйте более длинные клавиатурные последовательности
Make {0},Создать {0}
Makes the page public,Делает страницу общедоступной
Male,Мужской
Manage Third Party Apps,Управление сторонними приложениями
Mandatory,Обязательно
Mandatory Depends On,Обязательность зависит от
Mandatory Information missing:,Обязательная информация отсутствует:
Mandatory field: set role for,Обязательное поле: установить роль для
Mandatory field: {0},Обязательное поле: {0}
"Mandatory fields required in table {0}, Row {1}","Обязательные поля не заполнены в таблице {0}, строка {1}"
Mandatory fields required in {0},Обязательные поля не заполнены в {0}
Mandatory:,Обязательно:
Manipur,Манипур
Map Columns,Сопоставить столбцы
Map columns from {0} to fields in {1},Сопоставить столбцы из {0} с полями в {1}
Map route parameters into form variables. Example <code>/project/&lt;name&gt;</code>,Сопоставьте параметры маршрута с переменными формы. Пример: <code>/project/&lt;name&gt;</code>
Mapping,Сопоставление
Mapping Name,Название сопоставления
Mapping Type,Тип сопоставления
Mapping column {0} to field {1},Сопоставление столбца {0} с полем {1}
Mappings,Сопоставления
Mark all as Read,Отметить всё как прочитанное
Mark as Read,Отметить как прочитанное
Mark as Spam,Отметить как спам
Mark as Unread,Отметить как непрочитанное
Markdown,Markdown
Markdown Editor,Редактор Markdown
Marked As Spam,Помечено как спам
Max 500 records at a time,Макс. 500 записей за один раз
Max Attachment Size (in MB),Макс. размер вложения (в МБ)
Max Attachments,Макс. вложений
Max Length,Макс. длина
Max Value,Макс. значение
Max width for type Currency is 100px in row {0},"Макс. ширина для типа Currency — 100px, строка {0}"
Maximum,Максимум
Maximum Attachment Limit for this record reached.,Достигнут лимит вложений для этой записи.
Maximum Number of Fields,Максимальное количество полей
Maximum Points,Максимум баллов
Maximum points allowed after multiplying points with the multiplier value\n(Note: For no limit leave this field empty or set 0),Максимальное количество баллов после умножения на множитель\n(Примечание: для снятия ограничения оставьте поле пустым или укажите 0)
Maximum {0} rows allowed,Разрешено максимум {0} строк
Me,Я
"Meaning of Submit, Cancel, Amend","Значение действий «Провести», «Отменить», «Исправить»"
Medium,Средний
Meeting,Встреча
Meghalaya,Мегхалая
Mention,Упоминание
Mention transaction completion page URL,Укажите URL страницы завершения транзакции
Mentions,Упоминания
Menu,Меню
Merchant ID,Идентификатор продавца
Merchant Key,Ключ продавца
Merge with existing,Объединить с существующим
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,Слияние возможно только между группами или между листовыми узлами
Message,Сообщение
Message (HTML),Сообщение (HTML)
Message (Markdown),Сообщение (Markdown)
Message Count,Количество сообщений
Message Examples,Примеры сообщений
Message ID,Идентификатор сообщения
Message Parameter,Параметр сообщения
Message Preview,Предпросмотр сообщения
Message clipped,Сообщение обрезано
Message from server: {0},Сообщение с сервера: {0}
Message not setup,Сообщение не настроено
Message to be displayed on successful completion (only for Guest users),"Сообщение, которое будет отображаться при успешном завершении (только для гостевых пользователей)"
Message-id,ID сообщения
Meta Description,Метаописание
Meta Image,Метаизображение
Meta Tags,Метатеги
Meta Title,Метазаголовок
Meta title for SEO,Метазаголовок для SEO
Method,Метод
Middle Name,Отчество
Middle Name (Optional),Отчество (необязательно)
Migration ID Field,Поле идентификатора миграции
Milestone,Этап
Milestone Tracker,Трекер этапов
Minimum,Минимум
Minimum Password Score,Минимальная оценка пароля
Miss,Мисс
Missing Fields,Отсутствующие поля
Missing Values Required,Не заполнены обязательные значения
Missing parameter Kanban Board Name,Отсутствует параметр «Наименование канбан-доски»
Missing parameters for login,Отсутствуют параметры для входа
Mizoram,Мизорам
Mobile No,Мобильный телефон
Mobile number,Номер мобильного телефона
Models (building blocks) of the Application,Модели (строительные блоки) приложения
Modified By,Кем изменено
Module,Модуль
Module Def,Определение модуля
Module Name,Название модуля
Module Not Found,Модуль не найден
Module Onboarding,Онбординг модуля
Module Path,Путь модуля
Module to Export,Модуль для экспорта
Modules,Модули
Modules HTML,HTML модулей
Monday,Понедельник
Monospace,Моноширинный
Month,Месяц
Monthly,Ежемесячно
Monthly Long,Ежемесячно (длинные)
Monthly Rank:,Месячный рейтинг:
More,Ещё
More Information,Подробнее
More articles on {0},Другие статьи о {0}
More content for the bottom of the page.,Дополнительный контент для нижней части страницы.
Most Used,Наиболее используемое
Move,Переместить
Move To,Переместить в
Move To Trash,Переместить в корзину
Move to Row Number,Переместить на строку номер
Mr,Г-н
Mrs,Г-жа
Ms,Госпожа
Multiple root nodes not allowed.,Несколько корневых узлов не допускается.
Multiplier Field,Поле множителя
Must be a publicly accessible Google Sheets URL,Должен быть общедоступный URL Google Таблиц
"Must be of type ""Attach Image""",Должно быть типа «Attach Image»
Must have report permission to access this report.,Для доступа к этому отчёту требуется право на отчёты.
Must specify a Query to run,Необходимо указать запрос для выполнения
Mute Sounds,Отключить звуки
My Account,Моя учётная запись
My Device,Моё устройство
My Profile,Мой профиль
My Settings,Мои настройки
MyISAM,MyISAM
Nagaland,Нагаленд
Name,Название
Name Case,Регистр имени
Name cannot contain special characters like {0},"Имя не может содержать специальные символы, такие как {0}"
Name not set via prompt,Имя не задано через запрос
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,"Имя типа документа (DocType), с которым должно быть связано это поле. Например: Customer"
Name of the new Print Format,Название нового формата печати
Name of {0} cannot be {1},Название {0} не может быть {1}
Names and surnames by themselves are easy to guess.,Имена и фамилии сами по себе легко подобрать.
Naming,Именование
"Naming Options:\n<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>\n<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>","Варианты именования:\n<ol><li><b>field:[fieldname]</b> - по полю</li><li><b>naming_series:</b> - по серии нумерации (должно присутствовать поле naming_series</li><li><b>Prompt</b> - запрашивать имя у пользователя</li><li><b>[series]</b> - серия по префиксу (отделяется точкой); например PRE.#####</li>\n<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - все слова в фигурных скобках (имена полей, элементы даты (DD, MM, YY), серии) заменяются их значениями. Вне фигурных скобок можно использовать любые символы.</li></ol>"
Naming Series,Серия нумерации
Naming Series mandatory,Серия нумерации обязательна
Navbar,Панель навигации
Navbar Item,Пункт панели навигации
Navbar Settings,Настройки панели навигации
Navbar Template,Шаблон навигационной панели
Navbar Template Values,Значения шаблона навигационной панели
Navigate Home,Перейти на главную
Navigate list down,Переместиться вниз по списку
Navigate list up,Переместиться вверх по списку
Negative Value,Отрицательное значение
Nested set error. Please contact the Administrator.,"Ошибка вложенных множеств (nested set). Пожалуйста, обратитесь к администратору."
New,Новый
New Activity,Новая активность
New Address,Новый адрес
New Chart,Новая диаграмма
New Chat,Новый чат
New Comment on {0}: {1},Новый комментарий к {0}: {1}
New Connection,Новое соединение
New Contact,Новый контакт
New Custom Print Format,Новый пользовательский формат печати
New Document Shared {0},С вами поделились документом {0}
New Email,Новое письмо
New Email Account,Новая учётная запись эл. почты
New Event,Новое событие
New Folder,Новая папка
New Kanban Board,Новая канбан-доска
New Mention on {0},Новое упоминание в {0}
New Message from Website Contact Page,Новое сообщение с формы обратной связи на сайте
New Name,Новое имя
New Newsletter,Новая рассылка
New Notification,Новое уведомление
New Number Card,Новая числовая карточка
New Password,Новый пароль
New Password Required.,Требуется новый пароль.
New Print Format Name,Название нового формата печати
New Report name,Новое название отчёта
New Shortcut,Новый ярлык
New Value,Новое значение
New data will be inserted.,Новые данные будут вставлены.
New module created {0},Создан новый модуль {0}
New updates are available,Доступны новые обновления
New value to be set,Новое значение для установки
New {0},Новый {0}
New {0} Created,Создан новый {0}
New {0} {1} added to Dashboard {2},Новый {0} {1} добавлен на дашборд {2}
New {0} {1} created,Создан новый {0} {1}
New {0}: {1},Новый {0}: {1}
New {} releases for the following apps are available,Доступны новые {} релизы для следующих приложений
Newsletter,Рассылка
Newsletter Email Group,Группа рассылки
Newsletter Manager,Менеджер рассылки
Newsletter has already been sent,Рассылка уже отправлена
Newsletter should have at least one recipient,У рассылки должен быть хотя бы один получатель
Newsletter should have atleast one recipient,Рассылка должна иметь хотя бы одного получателя
Newsletters,Рассылки
"Newsletters to contacts, leads.",Рассылки контактам и лидам.
Next,Далее
Next Action Email Template,Шаблон письма для следующего действия
Next Actions HTML,HTML следующих действий
Next Schedule Date,Следующая дата расписания
Next Scheduled Date,Следующая дата по расписанию
Next State,Следующее состояние
Next Sync Token,Следующий токен синхронизации
Next actions,Дальнейшие действия
No,Нет
No Active Sessions,Нет активных сеансов
No Copy,Не копировать
No Data,Нет данных
No Email Account,Нет учётной записи эл. почты
No Email Accounts Assigned,Учётные записи эл. почты не назначены
No Emails,Нет писем
No Entry for the User {0} found within LDAP!,В LDAP не найдено ни одной записи для пользователя {0}!
No Events Today,Сегодня нет событий
No Filters Set,Фильтры не установлены
No Google Calendar Event to sync.,Нет событий Google Календаря для синхронизации.
No LDAP User found for email: {0},Не найден пользователь LDAP с эл. почтой: {0}
No Label,Без подписи
No More Activity,Больше нет активности
No Name Specified for {0},Имя не указано для {0}
No Permissions Specified,Права доступа не указаны
No Permissions set for this criteria.,Права доступа не заданы для этих критериев.
No Permitted Charts,Нет разрешённых диаграмм
No Permitted Charts on this Dashboard,На этом дашборде нет разрешённых диаграмм
No Preview,Нет предпросмотра
No Preview Available,Предпросмотр недоступен
No Printer is Available.,Нет доступных принтеров.
No Records Created,Записи не созданы
No Results,Нет результатов
No Tags,Нет меток
No Upcoming Events,Нет предстоящих событий
No activity,Нет активности
No address added yet.,Адресов пока нет.
No alerts for today,Нет оповещений на сегодня
No changes in document,Без изменений в документе
No comments yet,Комментариев нет
No comments yet. Start a new discussion.,Комментариев пока нет. Начните новое обсуждение.
No conditions provided,Условия не предоставлены
No contacts added yet.,Контакты ещё не добавлены.
No contacts linked to document,"Нет контактов, связанных с документом"
No data found in the file. Please reattach the new file with data.,"В файле нет данных. Пожалуйста, прикрепите новый файл с данными."
No data to export,Нет данных для экспорта
No default Address Template found. Please create a new one from Setup > Printing and Branding > Address Template.,"Шаблон адреса по умолчанию не найден. Создайте новый, выбрав «Настройка» > «Печать и брендинг» > «Шаблон адреса»."
No document found for given filters,Не найдено документов по заданным фильтрам
No documents found tagged with {0},Документы с меткой {0} не найдены
No email account associated with the User. Please add an account under User > Email Inbox.,С пользователем не связана ни одна учётная запись эл. почты. Добавьте учётную запись в разделе Пользователь > Почтовый ящик.
No failed logs,Нет журналов с ошибками
"No fields found that can be used as a Kanban Column. Use the Customize Form to add a Custom Field of type ""Select"".","Не найдено полей, которые можно использовать как колонку канбана. Через «Настроить форму» добавьте настраиваемое поле типа «Select»."
No file attached,Файл не прикреплён
No filters found,Фильтры не найдены
No further records,Больше записей нет
No items found.,Ничего не найдено.
No matching records. Search something new,Нет подходящих записей. Попробуйте другой запрос
No more items to display,Больше нет элементов для отображения
No more posts,Больше нет постов
"No need for symbols, digits, or uppercase letters.","Символы, цифры и заглавные буквы не обязательны."
No new Google Contacts synced.,Новые контакты Google не синхронизированы.
No of Columns,Кол-во колонок
No of Rows (Max 500),Кол-во строк (максимум 500)
No of emails remaining to be synced,Осталось писем для синхронизации
No pending or current jobs for this site,Нет ожидающих или текущих заданий для этого сайта
No permission for {0},Нет доступа для {0}
No permission to '{0}' {1},Нет права «{0}» для {1}
No permission to read {0},Нет права на чтение {0}
No permission to {0} {1} {2},Нет доступа для {0} {1} {2}
No posts yet,Постов пока нет
No records deleted,Записи не удалены
No records present in {0},Нет записей в {0}
No records tagged.,Нет записей с метками.
No records will be exported,Никакие записи не будут экспортированы
No results found for {0} in Global Search,Не найдено результатов для {0} в глобальном поиске
No template found at path: {0},Шаблон не найден по пути: {0}
No user found,Пользователь не найден
No values to show,Нет значений для отображения
No {0} found,{0} не найдено
No {0} mail,Нет {0} почты
No {0} permission,Нет права «{0}»
Non Negative,Неотрицательное
Non-Conforming,Гендерно-неконформный
None,Нет
None: End of Workflow,Нет: конец рабочего процесса
Not Allowed,Не разрешено
Not Allowed: Disabled User,Не разрешено: пользователь отключён
Not Ancestors Of,Не предки для
Not Descendants Of,Не потомки для
Not Equals,Не равно
Not Found,Не найдено
Not In,Не в
Not Like,Не похоже
Not Linked to any record,Не привязано к какой-либо записи
Not Permitted,Не разрешено
Not Published,Не опубликовано
Not Saved,Не сохранено
Not Seen,Не просмотрено
Not Sent,Не отправлено
Not Set,Не указано
Not a valid Comma Separated Value (CSV File),"Недопустимый CSV-файл (значения, разделённые запятыми)"
Not a valid DocType view:,Недопустимое представление DocType:
Not a valid User Image.,Недопустимое изображение пользователя.
Not a valid Workflow Action,Недопустимое действие рабочего процесса
Not a valid user,Недействительный пользователь
Not a zip file,Не является zip-файлом
Not active,Неактивен
Not allowed for {0}: {1},Не разрешено для {0}: {1}
Not allowed to Import,Импорт не разрешён
"Not allowed to attach {0} document, please enable Allow Print For {0} in Print Settings",Не разрешено прикреплять документ {0}; включите «Разрешить печать для {0}» в настройках печати
Not allowed to change {0} after submission,Не разрешено изменять {0} после проведения
Not allowed to print cancelled documents,Не разрешено печатать отменённые документы
Not allowed to print draft documents,Не разрешено печатать черновики
Not enough permission to see links,Недостаточно прав для просмотра ссылок
Not found,Не найдено
Not in Developer Mode,Не в режиме разработчика
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,Не в режиме разработчика! Включите его в site_config.json или создайте «пользовательский» (Custom) DocType.
Not permitted,Не разрешено
Not permitted to view {0},Не разрешено просматривать {0}
Note,Примечание
Note Seen By,Кем просмотрена заметка
Note:,Примечание:
Note: By default emails for failed backups are sent.,Примечание: по умолчанию письма отправляются при неудачном резервном копировании.
Note: Changing the Page Name will break previous URL to this page.,Примечание: изменение имени страницы сделает прежний URL этой страницы нерабочим.
"Note: For best results,  images must be of the same size and width must be greater than height.","Примечание: для наилучшего результата изображения должны быть одного размера, а ширина — больше высоты."
Note: Multiple sessions will be allowed in case of mobile device,Примечание: для мобильных устройств будет разрешено несколько сеансов
Notes:,Примечания:
Nothing to show,Здесь пока ничего нет
Nothing to update,Нечего обновлять
Notification,Уведомление
Notification Log,Журнал уведомлений
Notification Recipient,Получатель уведомления
Notification Settings,Настройки уведомлений
Notification Subscribed Document,Документ с подпиской на уведомления
Notification Tones,Звуки уведомлений
Notifications,Уведомления
Notifications Disabled,Уведомления отключены
Notifications and bulk mails will be sent from this outgoing server.,Уведомления и массовые письма будут отправляться с этого сервера исходящей почты.
Notify Users On Every Login,Уведомлять пользователей о каждом входе в систему
Notify by Email,Уведомить по эл. почте
Notify by email,Уведомить по эл. почте
Notify if unreplied,Уведомить при отсутствии ответа
Notify if unreplied for (in mins),Уведомить при отсутствии ответа в течение (в мин)
Notify users with a popup when they log in,Уведомлять пользователей всплывающим окном при входе
Now,Сейчас
Number,Номер
Number Card,Числовая карточка
Number Card Link,Ссылка числовой карточки
Number Cards,Числовые карточки
Number Format,Формат числа
Number of Backups,Количество резервных копий
Number of DB Backups,Количество резервных копий БД
Number of DB backups cannot be less than 1,Количество резервных копий БД не может быть меньше 1
Number of Groups,Количество групп
Number of columns for a field in a Grid (Total Columns in a grid should be less than 11),Количество колонок для поля в сетке (всего в сетке должно быть меньше 11 колонок)
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Количество столбцов для поля в списке или сетке (общее количество столбцов должно быть меньше 11)
OAuth Authorization Code,Код авторизации OAuth
OAuth Bearer Token,Токен OAuth Bearer
OAuth Client,Клиент OAuth
OAuth Client ID,Идентификатор клиента OAuth
OAuth Provider Settings,Настройки провайдера OAuth
OTP App,OTP-приложение
OTP Issuer Name,Название эмитента OTP
OTP Secret has been reset. Re-registration will be required on next login.,Секрет OTP сброшен. При следующем входе потребуется повторная регистрация.
OTP secret can only be reset by the Administrator.,Секрет OTP может сбросить только администратор.
OTP setup using OTP App was not completed. Please contact Administrator.,"Настройка OTP с использованием приложения OTP не была завершена. Пожалуйста, свяжитесь с администратором."
Odisha,Одиша
Off,Выкл.
Office,Офис
Office 365,Office 365
Offline,Не в сети
Old Password,Старый пароль
Old Password Required.,Старый пароль обязателен.
Older backups will be automatically deleted,Более старые резервные копии будут автоматически удалены
"On {0}, {1} wrote:","{0}, {1} писал(а):"
Onboarding,Онбординг
Onboarding Complete,Онбординг завершён
Onboarding Permission,Право на онбординг
Onboarding Step,Шаг онбординга
Onboarding Step Map,Карта шагов онбординга
"Once submitted, submittable documents cannot be changed. They can only be Cancelled and Amended.",После проведения проводимые документы нельзя изменять. Их можно только отменить и исправить.
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).","После этой настройки пользователи получат доступ только к тем документам (например, «Пост блога»), где существует эта ссылка (например, «Блогер»)."
One Last Step,Остался последний шаг
One Time Password (OTP) Registration Code from {},Регистрационный код одноразового пароля (OTP) от {}
One of,Один из
Online,В сети
Only 200 inserts allowed in one request,В одном запросе допускается только 200 вставок
Only Administrator can delete Email Queue,Только администратор может удалять очередь эл. почты
Only Administrator can edit,Только администратор может редактировать
Only Administrator can save a standard report. Please rename and save.,"Только администратор может сохранить стандартный отчёт. Пожалуйста, переименуйте и сохраните."
Only Administrator is allowed to use Recorder,Только администратор может использовать регистратор
Only Allow Edit For,Разрешить редактирование только для
Only Options allowed for Data field are:,Для поля Data разрешены только следующие Options:
Only Send Records Updated in Last X Hours,"Отправлять только записи, обновлённые за последние X часов"
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,Для новых записей необходимы только обязательные поля. При желании необязательные столбцы можно удалить.
Only one {0} can be set as primary.,Только один {0} может быть установлен в качестве основного.
Only standard DocTypes are allowed to be customized from Customize Form.,Через «Настроить форму» можно настраивать только стандартные DocType.
Only users involved in the document are listed,"Перечислены только пользователи, участвующие в документе"
Only {0} emailed reports are allowed per user,Разрешено только {0} отчётов по эл. почте на пользователя
Oops,Упс
Oops! Something went wrong,Упс! Что-то пошло не так
"Oops, you are not allowed to know that","К сожалению, у вас нет права доступа"
Open,Открыт
Open Awesomebar,Открыть Awesomebar
Open Chat,Открыть чат
Open Document,Открыть документ
Open Documents,Открытые документы
Open Help,Открыть справку
Open Link,Открыть ссылку
Open Reference Document,Открыть связанный документ
Open Settings,Открыть настройки
Open Source Applications for the Web,Приложения с открытым кодом для веба
Open Translation,Открыть перевод
Open URL in a New Tab,Открыть URL в новой вкладке
Open a dialog with mandatory fields to create a new record quickly,"Откройте диалог с обязательными полями, чтобы быстро создать новую запись"
Open a module or tool,Открыть модуль или инструмент
Open list item,Открыть элемент списка
Open your authentication app on your mobile phone.,Откройте приложение аутентификации на своём мобильном телефоне.
Open {0},Открыть {0}
Opened,Открыто
Operation,Операция
Operator must be one of {0},Оператор должен быть одним из {0}
Option 1,Вариант 1
Option 2,Вариант 2
Option 3,Вариант 3
Option {0} for field {1} is not a child table,Вариант {0} для поля {1} не является дочерней таблицей
Optional: Always send to these ids. Each Email Address on a new row,Необязательно: всегда отправлять на эти адреса. Каждый адрес эл. почты с новой строки
Optional: The alert will be sent if this expression is true,"Необязательно: оповещение будет отправлено, если это выражение истинно"
Options,Варианты
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',Поле типа «Dynamic Link» в options должно указывать на другое поле Link с параметром options = «DocType»
Options Help,Справка по Options
Options for select. Each option on a new line.,Варианты выбора. Каждый вариант с новой строки.
Options for {0} must be set before setting the default value.,Перед установкой значения по умолчанию необходимо задать параметры для {0}.
Options not set for link field {0},Options не заданы для поля связи {0}
Or login with,Или войдите через
Order,Порядок
Org History,История организации
Org History Heading,Заголовок истории организации
Organizational Unit for Users,Организационная единица для пользователей
Orientation,Ориентация
Original Value,Исходное значение
Other,Прочее
Other Territory,Другая территория
Outgoing email account not correct,Учётная запись исходящей почты неверна
Output,Вывод
Overwrite,Перезаписать
Owner,Владелец
PDF Page Size,Размер страницы PDF
PDF Settings,Настройки PDF
PDF generation failed,Не удалось сгенерировать PDF-файл
PDF generation failed because of broken image links,Не удалось сгенерировать PDF из-за битых ссылок на изображения
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.",Печать PDF через «Raw Print» пока не поддерживается. Удалите сопоставление принтера в настройках принтера и повторите попытку.
Package Document Type,Тип документа пакета
Package Publish Target,Цель публикации пакета
Package Publish Tool,Инструмент публикации пакетов
Page,Страница
Page Builder,Конструктор страниц
Page Building Blocks,Блоки страницы
Page HTML,HTML страницы
Page Length,Размер страницы
Page Missing or Moved,Страница отсутствует или перемещена
Page Name,Имя страницы
Page Settings,Настройки страницы
Page Shortcuts,Ярлыки страниц
Page Size,Размер страницы
Page has expired!,Срок действия страницы истёк!
Page not found,Страница не найдена
Page to show on the website\n,Страница для показа на сайте\n
Page {0} of {1},Страница {0} из {1}
Pages in Desk (place holders),Страницы на рабочем столе (заглушки)
Parameter,Параметр
Parent,Родитель
Parent Error Snapshot,Родительский снимок ошибки
Parent Field (Tree),Родительское поле (дерево)
Parent Field must be a valid fieldname,Родительское поле должно быть допустимым именем поля
Parent Label,Родительская подпись
Parent Table,Родительская таблица
Parent is required to get child table data,Для получения данных дочерней таблицы требуется родитель
Parent is the name of the document to which the data will get added to.,"Родитель — это имя документа, к которому будут добавлены данные."
Partial Success,Выполнено не полностью
Partially Successful,Частично успешно
Participants,Участники
Party GSTIN,GSTIN контрагента
Passive,Пассивный
Password,Пароль
Password Reset,Сброс пароля
Password Reset Link Generation Limit,Лимит создания ссылок для сброса пароля
Password Updated,Пароль обновлён
Password changed successfully.,Пароль успешно изменён.
Password for Base DN,Пароль для Base DN
Password is required or select Awaiting Password,"Требуется пароль, или выберите «Ожидание пароля»"
Password not found,Пароль не найден
Password reset instructions have been sent to your email,Инструкции по сбросу пароля отправлены на вашу эл. почту
Passwords do not match!,Пароли не совпадают!
Paste,Вставить
Patch,Патч
Patch Log,Журнал патчей
Path,Путь
Path to CA Certs File,Путь к файлу сертификатов CA
Path to Server Certificate,Путь к сертификату сервера
Path to private Key File,Путь к файлу закрытого ключа
PayPal Settings,Настройки PayPal
PayPal payment gateway settings,Настройки платёжного шлюза PayPal
Payment Cancelled,Оплата отменена
Payment Success,Оплата прошла успешно
Paytm Settings,Настройки Paytm
Paytm payment gateway settings,Настройки платёжного шлюза Paytm
Pending,В ожидании
Pending Approval,Ожидает утверждения
Pending Verification,Ожидает подтверждения
Percent,Процент
Percent Complete,Процент выполнения
Percentage,Процент
Period,Период
Perm Level,Уровень прав
Permanent,Постоянный
Permanently Cancel {0}?,Отменить {0} безвозвратно?
Permanently Submit {0}?,Провести {0} безвозвратно?
Permanently delete {0}?,Навсегда удалить {0}?
Permission Error,Ошибка доступа
Permission Level,Уровень доступа
Permission Levels,Уровни доступа
Permission Rules,Правила доступа
Permissions,Права доступа
Permissions are automatically applied to Standard Reports and searches.,Права доступа автоматически применяются к стандартным отчётам и поисковым запросам.
"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions.","Права доступа устанавливаются для ролей и типов документов (DocType) путём назначения прав: чтение, запись, создание, удаление, проведение, отмена, исправление, отчёт, импорт, экспорт, печать, эл. почта и установка прав пользователей."
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,"Права на более высоких уровнях — это права на уровне полей. У каждого поля задан уровень прав, и правила этого уровня применяются к полю. Это полезно, если нужно скрыть поле или сделать его доступным только для чтения для определённых ролей."
